new_code,governorate,old_code
1,diyala,1
2,diyala,2
3,diyala,3
4,diyala,4
5,diyala,5
6,diyala,6
7,diyala,7
8,diyala,8
9,diyala,9
10,diyala,10
11,diyala,11
12,diyala,12
13,baghdad,1
14,baghdad,2
15,baghdad,3
16,baghdad,4
17,baghdad,5
18,baghdad,6
19,baghdad,7
20,baghdad,8
21,baghdad,9
22,baghdad,10
23,baghdad,11
24,baghdad,12
25,baghdad,13
26,baghdad,14
27,baghdad,15
28,baghdad,16
29,baghdad,17
30,baghdad,18
31,baghdad,19
32,baghdad,20
33,al.sulaymaniyah,1
34,al.sulaymaniyah,2
35,al.sulaymaniyah,3
36,al.sulaymaniyah,4
37,al.sulaymaniyah,5
38,Ninewa,38
39,,39
40,,40
41,,41
42,,42
43,,43
44,,44
45,,45
46,,46
47,,47
48,,48
49,,49
50,,50
51,,51
52,,52
53,,53
54,kirkuk,54
55,kirkuk,55
56,kirkuk,56
57,kirkuk,57
58,kirkuk,58
59,kirkuk,59
60,kirkuk,60
61,kirkuk,61
62,kirkuk,62
63,kirkuk,63
64,kirkuk,64
65,kirkuk,65
66,wassit,1
67,wassit,2
68,wassit,3
69,wassit,4
