log_number,X_uuid,cluster_location_id,date_assessment,governorate_mcna_r,district_mcna,enumerator_num,question.name,issue,action,changed,old.value,new.value,flag_index
1,0017898b-b730-4bfa-a061-41adc7505442,24580,10-Aug,NA,aqra,95,num_hh_member,HH member should not be larger than 13,Flagged,NA,22,22,3
2,02c84960-9649-4c80-8e48-66246436952b,NA,23-Jul,baghdad,al.kadhmiyah,28,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
3,05a71235-59b1-4bf0-ac90-15d09e0c4230,24580,10-Aug,NA,aqra,95,num_hh_member,HH member should not be larger than 13,Flagged,NA,29,29,3
4,078c7118-440d-46fa-9791-030a244111c5,17049,11-Aug,NA,al.shikhan,83,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
5,094c6be0-9c0c-4b04-95c6-52293b2b5a37,17045,12-Aug,NA,al.shikhan,97,num_hh_member,HH member should not be larger than 13,Flagged,NA,28,28,3
6,0acd9b93-3c40-4408-8557-633a5d0df802,15139,26-Aug,NA,daquq,59,num_hh_member,HH member should not be larger than 13,Flagged,NA,16,16,3
7,13e17fb4-9b1e-4d4c-90f9-cefcfd2a8ee4,18199,8-Aug,NA,al.shikhan,91,num_hh_member,HH member should not be larger than 13,Flagged,NA,17,17,3
8,15b73aa2-e1c7-4748-8468-70d011db92bb,NA,27-Jul,baghdad,al.mahmoudiya,28,num_hh_member,HH member should not be larger than 13,Flagged,NA,17,17,3
9,16530c62-645e-4807-abb1-bd6e519f63ff,32031,6-Aug,NA,zakho,93,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
10,1a923418-d58d-42dd-b0a6-4563a81b19e4,17049,11-Aug,NA,al.shikhan,93,num_hh_member,HH member should not be larger than 13,Flagged,NA,25,25,3
11,1d1d0766-c3d0-4a2f-b8aa-400aa8a24c06,NA,15-Aug,al.anbar,ana,107,num_hh_member,HH member should not be larger than 13,Flagged,NA,18,18,3
12,1de549e2-d836-4a8a-85f9-f913b0603f6c,NA,27-Jul,ninewa,al.baaj,12,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
13,1dedc931-8fcd-48cb-a893-8906fc0527dd,NA,27-Jul,ninewa,al.baaj,9,num_hh_member,HH member should not be larger than 13,Flagged,NA,23,23,3
14,1f692824-dc56-4f92-b64a-67cf1a04de6f,17734,9-Aug,NA,aqra,94,num_hh_member,HH member should not be larger than 13,Flagged,NA,19,19,3
15,20180661-553c-472a-b52b-7d9df1762e9f,17734,9-Aug,NA,aqra,84,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
16,21844f86-353a-4786-998d-43d643fabf5c,33112,27-Aug,NA,daquq,60,num_hh_member,HH member should not be larger than 13,Flagged,NA,46,46,3
17,218c41f4-c918-41ca-beee-ef22eedff2ea,17051,13-Aug,NA,al.shikhan,82,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
18,21f99299-c0bf-4be2-a1c0-b35d0fe9882a,20529,9-Aug,NA,tooz.khurmato,76,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
19,23831354-1f65-4677-9d60-ea24a8679947,17752,8-Aug,NA,tilkaef,89,num_hh_member,HH member should not be larger than 13,Flagged,NA,16,16,3
20,294c28ad-8b3e-4c88-bec5-0bf4461d2048,NA,15-Aug,baghdad,al.karkh,18,num_hh_member,HH member should not be larger than 13,Flagged,NA,17,17,3
21,295ac2ab-03cf-4b11-936d-a2d3712560af,NA,6-Aug,ninewa,sinjar,106,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
22,2fb1dd59-ee61-44c5-a9e7-05d24aee9aae,17875,12-Aug,NA,al.shikhan,92,num_hh_member,HH member should not be larger than 13,Flagged,NA,30,30,3
23,2fd90d14-8fc7-4dd7-8b5a-01e45b786dc8,17734,9-Aug,NA,aqra,95,num_hh_member,HH member should not be larger than 13,Flagged,NA,20,20,3
24,3156b23d-1044-481b-87ec-323470ca96c9,32028,6-Aug,NA,zakho,94,num_hh_member,HH member should not be larger than 13,Flagged,NA,19,19,3
25,32f3dc98-67a8-4401-9265-ad3aa175584e,7770,13-Aug,NA,al.amadiya,96,num_hh_member,HH member should not be larger than 13,Flagged,NA,17,17,3
26,33027c94-7e7a-453f-9c42-227f4296846e,8783,11-Aug,NA,aqra,84,num_hh_member,HH member should not be larger than 13,Flagged,NA,20,20,3
27,33985e71-4be3-4297-98e8-2fc24e9b517f,25898,29-Jul,NA,duhok,92,num_hh_member,HH member should not be larger than 13,Flagged,NA,18,18,3
28,339cc49b-923f-4ac1-83d8-2822c0200081,17045,12-Aug,NA,al.shikhan,95,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
29,36936eba-58de-4ebb-a915-1942d16c2b31,NA,5-Aug,salah.al.din,al.daur,11,num_hh_member,HH member should not be larger than 13,Flagged,NA,18,18,3
