Place.id,strata_id,Location.name.in.English,Location.name.in.Arabic,Latitude,Longitude,COD_Subdistrict,district_mcna,governorate_mcna,SumDist,proba,num_households,num_surveys,pop_group,pop_group_dist
33940,Al-Falluja,Amriyat Al-Fallujahsector 3,?????? ??????,33.141111,44.018056,Al-Amirya,al.falluja,al.anbar,2281,0.050416484,115,6,idp_out_camp,idp_out_camp_al.falluja
107,Al-Falluja,Al Amiriyah,???????? ,33.1787573,43.85698918,Al-Amirya,al.falluja,al.anbar,2281,0.288469969,658,18,idp_out_camp,idp_out_camp_al.falluja
26088,Al-Falluja,Ahl Al-Ramadi 74,??? ??????? 74,33.14309313,44.02116816,Al-Amirya,al.falluja,al.anbar,2281,0.028057869,64,12,idp_out_camp,idp_out_camp_al.falluja
26092,Al-Falluja,Al-Amirya-Al Mouilha,????????,33.13698726,43.98735577,Al-Amirya,al.falluja,al.anbar,2281,0.105655414,241,6,idp_out_camp,idp_out_camp_al.falluja
33941,Al-Falluja,Amriyat Al-Fallujahsector 50,???? ???????,33.1475,44.015278,Al-Amirya,al.falluja,al.anbar,2281,0.032880316,75,6,idp_out_camp,idp_out_camp_al.falluja
26087,Al-Falluja,Al-Amirya-Albu Salman,??????????,33.15645263,44.00187874,Al-Amirya,al.falluja,al.anbar,2281,0.075843928,173,18,idp_out_camp,idp_out_camp_al.falluja
26036,Al-Falluja,Al-Amirya-Albu Jasim,????????,33.19858251,43.89964342,Al-Amirya,al.falluja,al.anbar,2281,0.00832968,19,6,idp_out_camp,idp_out_camp_al.falluja
26085,Al-Falluja,Al-Amirya-Albu Jaber,????????,33.12114643,44.04230199,Al-Amirya,al.falluja,al.anbar,2281,0.095572117,218,6,idp_out_camp,idp_out_camp_al.falluja
33939,Al-Falluja,Amriyat Al-Fallujah sector 4,?????? ??????,33.145831,44.015278,Al-Amirya,al.falluja,al.anbar,2281,0.049101271,112,6,idp_out_camp,idp_out_camp_al.falluja
26037,Al-Falluja,Al-Amirya-Albu Jwad,????????,33.15117657,43.98967868,Al-Amirya,al.falluja,al.anbar,2281,0.070144673,160,6,idp_out_camp,idp_out_camp_al.falluja
26091,Al-Falluja,Al-Amirya-Al Hmedin,????????,33.15811464,43.93617748,Al-Amirya,al.falluja,al.anbar,2281,0.048224463,110,6,idp_out_camp,idp_out_camp_al.falluja
23853,Al-Falluja,Hay Al-Madani,???? ?????? ,33.3781144,43.59524276,Markaz Al-Falluja,al.falluja,al.anbar,2281,0.005260851,12,6,idp_out_camp,idp_out_camp_al.falluja
23858,Al-Ramadi,Abu Fless,??? ????,33.39270541,43.53247477,Al-Habbaniya,al.ramadi,al.anbar,1117,0.051029543,57,6,idp_out_camp,idp_out_camp_al.ramadi
33826,Al-Ramadi,AL-Karama complex,???? ???????,33.0388385,43.097082,Al-Rahhaliya,al.ramadi,al.anbar,1117,0.068934646,77,18,idp_out_camp,idp_out_camp_al.ramadi
23889,Al-Ramadi,7 Killo-al-mojamaa al-sakany,?????? ????-?????? ??????,33.41413197,43.19138708,Markaz Al-Ramadi,al.ramadi,al.anbar,1117,0.42435094,474,84,idp_out_camp,idp_out_camp_al.ramadi
308,Al-Ramadi,5 Kilo,?????? ????,33.42115,43.24550264,Markaz Al-Ramadi,al.ramadi,al.anbar,1117,0.115487914,129,30,idp_out_camp,idp_out_camp_al.ramadi
115,Al-Ramadi,Al Sofeya,???????,33.44031066,43.32196121,Markaz Al-Ramadi,al.ramadi,al.anbar,1117,0.201432408,225,42,idp_out_camp,idp_out_camp_al.ramadi
182,Al-Ramadi,Qadisiya-1,???????? ??????,33.41244969,43.2749091,Markaz Al-Ramadi,al.ramadi,al.anbar,1117,0.047448523,53,6,idp_out_camp,idp_out_camp_al.ramadi
166,Al-Rutba,Hay Al Meethagh,?? ???????,33.03197354,40.29047217,Markaz Al-Rutba,al.rutba,al.anbar,516,0.19379845,100,18,idp_out_camp,idp_out_camp_al.rutba
231,Al-Rutba,Al Wadi,?? ??????,33.03966421,40.28365262,Markaz Al-Rutba,al.rutba,al.anbar,516,0.166666667,86,18,idp_out_camp,idp_out_camp_al.rutba
165,Al-Rutba,Al Askaree,?? ???????,33.03800189,40.30263444,Markaz Al-Rutba,al.rutba,al.anbar,516,0.15503876,80,12,idp_out_camp,idp_out_camp_al.rutba
150,Al-Rutba,Al Haara,?? ??????,33.03761591,40.28426443,Markaz Al-Rutba,al.rutba,al.anbar,516,0.104651163,54,6,idp_out_camp,idp_out_camp_al.rutba
167,Al-Rutba,Antesar,?? ????????,33.03126564,40.29901479,Markaz Al-Rutba,al.rutba,al.anbar,516,0.122093023,63,24,idp_out_camp,idp_out_camp_al.rutba
23935,Al-Rutba,Al-Daraemah Village,???? ????????,33.04302668,40.38038346,Markaz Al-Rutba,al.rutba,al.anbar,516,0.07751938,40,18,idp_out_camp,idp_out_camp_al.rutba
233,Al-Rutba,Hay Al-Matar,?? ??????,33.03461084,40.28668013,Markaz Al-Rutba,al.rutba,al.anbar,516,0.083333333,43,6,idp_out_camp,idp_out_camp_al.rutba
23888,Al-Rutba,Gharb Al-Wadi,?? ??? ??????,33.04245523,40.27803907,Markaz Al-Rutba,al.rutba,al.anbar,516,0.03875969,20,12,idp_out_camp,idp_out_camp_al.rutba
34002,Heet,Al-shuhdaa  1,??????? ??????,33.88568,42.5227,Al-Baghdady,heet,al.anbar,232,0.120689655,28,18,idp_out_camp,idp_out_camp_heet
152,Heet,Al Muhamdee,??????? ,33.55951649,42.90148478,Al-Forat,heet,al.anbar,232,0.280172414,65,30,idp_out_camp,idp_out_camp_heet
312,Heet,Al-Ummal,?????? ,33.63415572,42.8268459,Markaz Heet,heet,al.anbar,232,0.068965517,16,24,idp_out_camp,idp_out_camp_heet
219,Heet,Hay Al-Jabal,????? ,33.63892885,42.81853543,Markaz Heet,heet,al.anbar,232,0.206896552,48,24,idp_out_camp,idp_out_camp_heet
33822,Heet,Hay- Amina,?? ?????,33.65005,42.7969,Markaz Heet,heet,al.anbar,232,0.034482759,8,6,idp_out_camp,idp_out_camp_heet
23885,Heet,Hay Al-jamyah 2,??????? ???????,33.62821377,42.84729981,Markaz Heet,heet,al.anbar,232,0.060344828,14,12,idp_out_camp,idp_out_camp_heet
857,Al-Basrah,As-safat-Al Qadima,?????? ???????-??????,30.495005,47.81752492,Markaz Al-Basrah,al.basrah,al.basrah,287,0.020905923,6,6,idp_out_camp,idp_out_camp_al.basrah
21097,Al-Basrah,Manawi Lajim Quarter,????? ??? ,30.49566639,47.83856165,Markaz Al-Basrah,al.basrah,al.basrah,287,0.059233449,17,12,idp_out_camp,idp_out_camp_al.basrah
1308,Al-Basrah,Al-Baker & Al-Ahrar,????? ????????,30.4999937,47.81254713,Markaz Al-Basrah,al.basrah,al.basrah,287,0.027874564,8,6,idp_out_camp,idp_out_camp_al.basrah
