Place.id,strata_id,Location.name.in.English,Location.name.in.Arabic,Latitude,Longitude,COD_Subdistrict,district_mcna,governorate_mcna
33940,Al-Falluja,Amriyat Al-Fallujahsector 3,?????? ??????,33.141111,44.018056,Al-Amirya,al.falluja,al.anbar
107,Al-Falluja,Al Amiriyah,???????? ,33.1787573,43.85698918,Al-Amirya,al.falluja,al.anbar
26088,Al-Falluja,Ahl Al-Ramadi 74,??? ??????? 74,33.14309313,44.02116816,Al-Amirya,al.falluja,al.anbar
26092,Al-Falluja,Al-Amirya-Al Mouilha,????????,33.13698726,43.98735577,Al-Amirya,al.falluja,al.anbar
33941,Al-Falluja,Amriyat Al-Fallujahsector 50,???? ???????,33.1475,44.015278,Al-Amirya,al.falluja,al.anbar
26087,Al-Falluja,Al-Amirya-Albu Salman,??????????,33.15645263,44.00187874,Al-Amirya,al.falluja,al.anbar
26036,Al-Falluja,Al-Amirya-Albu Jasim,????????,33.19858251,43.89964342,Al-Amirya,al.falluja,al.anbar
26085,Al-Falluja,Al-Amirya-Albu Jaber,????????,33.12114643,44.04230199,Al-Amirya,al.falluja,al.anbar
33939,Al-Falluja,Amriyat Al-Fallujah sector 4,?????? ??????,33.145831,44.015278,Al-Amirya,al.falluja,al.anbar
26037,Al-Falluja,Al-Amirya-Albu Jwad,????????,33.15117657,43.98967868,Al-Amirya,al.falluja,al.anbar
26091,Al-Falluja,Al-Amirya-Al Hmedin,????????,33.15811464,43.93617748,Al-Amirya,al.falluja,al.anbar
23853,Al-Falluja,Hay Al-Madani,???? ?????? ,33.3781144,43.59524276,Markaz Al-Falluja,al.falluja,al.anbar
23858,Al-Ramadi,Abu Fless,??? ????,33.39270541,43.53247477,Al-Habbaniya,al.ramadi,al.anbar
33826,Al-Ramadi,AL-Karama complex,???? ???????,33.0388385,43.097082,Al-Rahhaliya,al.ramadi,al.anbar
23889,Al-Ramadi,7 Killo-al-mojamaa al-sakany,?????? ????-?????? ??????,33.41413197,43.19138708,Markaz Al-Ramadi,al.ramadi,al.anbar
308,Al-Ramadi,5 Kilo,?????? ????,33.42115,43.24550264,Markaz Al-Ramadi,al.ramadi,al.anbar
115,Al-Ramadi,Al Sofeya,???????,33.44031066,43.32196121,Markaz Al-Ramadi,al.ramadi,al.anbar
182,Al-Ramadi,Qadisiya-1,???????? ??????,33.41244969,43.2749091,Markaz Al-Ramadi,al.ramadi,al.anbar
166,Al-Rutba,Hay Al Meethagh,?? ???????,33.03197354,40.29047217,Markaz Al-Rutba,al.rutba,al.anbar
231,Al-Rutba,Al Wadi,?? ??????,33.03966421,40.28365262,Markaz Al-Rutba,al.rutba,al.anbar
165,Al-Rutba,Al Askaree,?? ???????,33.03800189,40.30263444,Markaz Al-Rutba,al.rutba,al.anbar
150,Al-Rutba,Al Haara,?? ??????,33.03761591,40.28426443,Markaz Al-Rutba,al.rutba,al.anbar
167,Al-Rutba,Antesar,?? ????????,33.03126564,40.29901479,Markaz Al-Rutba,al.rutba,al.anbar
23935,Al-Rutba,Al-Daraemah Village,???? ????????,33.04302668,40.38038346,Markaz Al-Rutba,al.rutba,al.anbar
233,Al-Rutba,Hay Al-Matar,?? ??????,33.03461084,40.28668013,Markaz Al-Rutba,al.rutba,al.anbar
23888,Al-Rutba,Gharb Al-Wadi,?? ??? ??????,33.04245523,40.27803907,Markaz Al-Rutba,al.rutba,al.anbar
34002,Heet,Al-shuhdaa  1,??????? ??????,33.88568,42.5227,Al-Baghdady,heet,al.anbar
152,Heet,Al Muhamdee,??????? ,33.55951649,42.90148478,Al-Forat,heet,al.anbar
312,Heet,Al-Ummal,?????? ,33.63415572,42.8268459,Markaz Heet,heet,al.anbar
219,Heet,Hay Al-Jabal,????? ,33.63892885,42.81853543,Markaz Heet,heet,al.anbar
33822,Heet,Hay- Amina,?? ?????,33.65005,42.7969,Markaz Heet,heet,al.anbar
23885,Heet,Hay Al-jamyah 2,??????? ???????,33.62821377,42.84729981,Markaz Heet,heet,al.anbar
857,Al-Basrah,As-safat-Al Qadima,?????? ???????-??????,30.495005,47.81752492,Markaz Al-Basrah,al.basrah,al.basrah
21097,Al-Basrah,Manawi Lajim Quarter,????? ??? ,30.49566639,47.83856165,Markaz Al-Basrah,al.basrah,al.basrah
1308,Al-Basrah,Al-Baker & Al-Ahrar,????? ????????,30.4999937,47.81254713,Markaz Al-Basrah,al.basrah,al.basrah
847,Al-Basrah,Al-meshraq al-qadeem,??????-??????? ??????,30.49082406,47.81616005,Markaz Al-Basrah,al.basrah,al.basrah
891,Al-Basrah,Manawi pasha,????? ????,30.50843105,47.84106138,Markaz Al-Basrah,al.basrah,al.basrah
24126,Al-Basrah,Hay Al Jamiah,??????-??????-?? ???????,30.4735456,47.80490113,Markaz Al-Basrah,al.basrah,al.basrah
907,Al-Basrah,Braiha,????? ,30.51312952,47.83821038,Markaz Al-Basrah,al.basrah,al.basrah
893,Al-Basrah,Kut al-hejaj,??????-??? ??????,30.50441634,47.8008913,Markaz Al-Basrah,al.basrah,al.basrah
898,Al-Basrah,Al Khaleej1,??????-????????-?? ?????? 1,30.4881858,47.79440625,Markaz Al-Basrah,al.basrah,al.basrah
1295,Al-Basrah,Door Al Dubbat,??? ??????,30.53411916,47.78872555,Markaz Al-Basrah,al.basrah,al.basrah
24182,Al-Basrah,Casino Lebnan,??????-?????? ?????,30.5077651,47.80811705,Markaz Al-Basrah,al.basrah,al.basrah
20340,Al-Kufa,Al Hureya,??????,32.10190244,44.54306633,Al-Huriya,al.kufa,al.najaf
25890,Al-Kufa,Sader 3,????? ??????,32.01241003,44.40323051,Markaz Al-Kufa,al.kufa,al.najaf
20298,Al-Kufa,Al Barakiya,????????,32.00931304,44.40037318,Markaz Al-Kufa,al.kufa,al.najaf
20046,Al-Kufa,Al Kreishat 2,???????? 2,32.03102475,44.40649951,Markaz Al-Kufa,al.kufa,al.najaf
24311,Al-Kufa,Alwat Al Fahal,???? ?????,32.07811637,44.37170203,Markaz Al-Kufa,al.kufa,al.najaf
20304,Al-Kufa,AL-RADHAWIYA,??????? 1,31.96229384,44.4136399,Markaz Al-Kufa,al.kufa,al.najaf
29598,Al-Najaf,Al Salam Complex,???? ??????,32.17414489,44.30752607,Al-Haydariya,al.najaf,al.najaf
34007,Al-Najaf,Hay AL Karrar,?? ??????,32.28396373,44.27828808,Al-Haydariya,al.najaf,al.najaf
20341,Al-Najaf,Al-Qasim,??????,32.31013278,44.27654775,Al-Haydariya,al.najaf,al.najaf
25431,Al-Najaf,Hay Al Ameer,?? ??????,32.31602166,44.26900962,Al-Haydariya,al.najaf,al.najaf
29658,Al-Najaf,Al-Shaheed Al-Sadar-Shareet,?? ?????? ?????-??????,32.07339081,44.32647878,Markaz Al-Najaf,al.najaf,al.najaf
26015,Al-Najaf,Al-Ameriya,????????,31.9869246,44.31483768,Markaz Al-Najaf,al.najaf,al.najaf
29621,Al-Najaf,Mazara Al-Hawli,????? ??????,32.0964973,44.3313444,Markaz Al-Najaf,al.najaf,al.najaf
